featureName,id,class,county,state,latitude,longitude,elev,map,bgnDate,entryDate
Springfield Wesleyan Church,1978493,Church,Hampden,Massachusetts,420541N,0723333W,190,Springfield South,,16-JAN-2003
The Springfield High School for Science and Technology,2083332,School,Hampden,Massachusetts,420700N,0723250W,213,Springfield South,,26-JAN-2006
Town of Dover,618319,Civil,Norfolk,Massachusetts,421412N,0711703W,187,Medfield,,27-AUG-2002
Town of Wilbraham,619390,Civil,Hampden,Massachusetts,420737N,0722551W,276,Ludlow,,27-AUG-2002
Vibra Hospital,600999,Hospital,Hampden,Massachusetts,420714N,0723251W,223,Springfield South,,27-AUG-2002
WACM-AM (West Springfield),619628,Tower,Hampden,Massachusetts,420555N,0723743W,66,West Springfield,,01-AUG-1994
WAIC-FM (Springfield),619703,Tower,Hampden,Massachusetts,420644N,0723327W,203,Springfield South,,01-AUG-1994
WAQY-FM (Springfield),619701,Tower,Hampden,Massachusetts,420500N,0724214W,581,West Springfield,,01-AUG-1994
WGBY-TV (Springfield),619735,Tower,Hampshire,Massachusetts,421430N,0723852W,1161,Mount Tom,,01-AUG-1994
WGGB-TV (Springfield),619733,Tower,Hampshire,Massachusetts,421430N,0723855W,1188,Mount Tom,,01-AUG-1994
WHYN-AM (Springfield),619615,Tower,Hampshire,Massachusetts,421158N,0724101W,239,Mount Tom,,01-AUG-1994
WHYN-FM (Springfield),619700,Tower,Hampshire,Massachusetts,421428N,0723854W,1161,Mount Tom,,01-AUG-1994
WMAS-AM (Springfield),619619,Tower,Hampden,Massachusetts,420632N,0723642W,49,Springfield South,,01-AUG-1994
WMAS-FM (Springfield),619705,Tower,Hampden,Massachusetts,420632N,0723642W,49,Springfield South,,01-AUG-1994
WNEK-FM (Springfield),619706,Tower,Hampden,Massachusetts,420655N,0723103W,223,Springfield South,,01-AUG-1994
WSCB-FM (Springfield),619704,Tower,Hampden,Massachusetts,420559N,0723328W,187,Springfield South,,01-AUG-1994
WSPR-AM (Springfield),619617,Tower,Hampden,Massachusetts,420524N,0723609W,49,Springfield South,,01-AUG-1994
WTCC-FM (Springfield),619702,Tower,Hampden,Massachusetts,420632N,0723443W,194,Springfield South,,01-AUG-1994
WWLP-TV (Springfield),619734,Tower,Hampden,Massachusetts,420505N,0724212W,640,West Springfield,,01-AUG-1994
West Springfield,609105,Populated Place,Hampden,Massachusetts,420625N,0723713W,59,Springfield South,,24-FEB-1974
West Springfield Covenant Church,1978557,Church,Hampden,Massachusetts,420710N,0723813W,154,West Springfield,,16-JAN-2003
West Springfield Fire Department Station 1 Headquarters,2659228,Building,Hampden,Massachusetts,420617N,0723726W,69,Springfield South,,17-JAN-2011
West Springfield Fire Department Station 2,2659616,Building,Hampden,Massachusetts,420626N,0723845W,203,West Springfield,,17-JAN-2011
West Springfield Fire Department Station 3,2659617,Building,Hampden,Massachusetts,420747N,0723744W,62,Mount Tom,,17-JAN-2011
West Springfield Fish and Game Club Dam,604723,Dam,Hampden,Massachusetts,420348N,0723858W,148,West Springfield,,27-AUG-2002
West Springfield High School,606815,School,Hampden,Massachusetts,420716N,0723823W,157,West Springfield,,01-JAN-1992
West Springfield Junior High School,601061,School,Hampden,Massachusetts,420628N,0723716W,62,Springfield South,,27-AUG-2002
West Springfield Police Department,2754961,Building,Hampden,Massachusetts,420621N,0723724W,69,Springfield South,,27-JUN-2014
West Springfield Police Department Substation,2755194,Building,Hampden,Massachusetts,420600N,0723620W,59,Springfield South,,27-JUN-2014
West Springfield Post Office,1978560,Post Office,Hampden,Massachusetts,Unknown,Unknown,,Unknown,,16-JAN-2003
West Springfield Public Library,1978561,Building,Hampden,Massachusetts,420618N,0723720W,66,Springfield South,,16-JAN-2003
West Springfield Town Hall,601062,Building,Hampden,Massachusetts,420622N,0723713W,59,Springfield South,,27-AUG-2002
Westside Post Office (historical),1975191,Post Office,Hampden,Massachusetts,Unknown,Unknown,,Unknown,,15-JAN-2003
Wilbraham,609368,Populated Place,Hampden,Massachusetts,420725N,0722553W,282,Hampden,,24-FEB-1974
Springfield,1676130,Populated Place,Calvert,Maryland,384531N,0763929W,82,Bristol,,20-MAR-1996
